Biosample term name	File accession	File download URL
activated CD4-positive, alpha-beta T cell	ENCFF352SER	https://www.encodeproject.org/files/ENCFF352SER/@@download/ENCFF352SER.bam
CD4-positive, alpha-beta T cell	ENCFF765CHC	https://www.encodeproject.org/files/ENCFF765CHC/@@download/ENCFF765CHC.bam
T-helper 22 cell	ENCFF563FDF	https://www.encodeproject.org/files/ENCFF563FDF/@@download/ENCFF563FDF.bam
CD4-positive, alpha-beta T cell	ENCFF760YWY	https://www.encodeproject.org/files/ENCFF760YWY/@@download/ENCFF760YWY.bam
CD8-positive, alpha-beta memory T cell	ENCFF863FZE	https://www.encodeproject.org/files/ENCFF863FZE/@@download/ENCFF863FZE.bam
activated CD4-positive, alpha-beta T cell	ENCFF800XPB	https://www.encodeproject.org/files/ENCFF800XPB/@@download/ENCFF800XPB.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF127WDT	https://www.encodeproject.org/files/ENCFF127WDT/@@download/ENCFF127WDT.bam
CD4-positive, alpha-beta T cell	ENCFF263TEW	https://www.encodeproject.org/files/ENCFF263TEW/@@download/ENCFF263TEW.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF076XVP	https://www.encodeproject.org/files/ENCFF076XVP/@@download/ENCFF076XVP.bam
T-helper 1 cell	ENCFF847ILB	https://www.encodeproject.org/files/ENCFF847ILB/@@download/ENCFF847ILB.bam
right lobe of liver	ENCFF854BNU	https://www.encodeproject.org/files/ENCFF854BNU/@@download/ENCFF854BNU.bam
T-helper 1 cell	ENCFF752UQO	https://www.encodeproject.org/files/ENCFF752UQO/@@download/ENCFF752UQO.bam
LNCaP clone FGC	ENCFF388UWK	https://www.encodeproject.org/files/ENCFF388UWK/@@download/ENCFF388UWK.bam
HeLa-S3	ENCFF187PXI	https://www.encodeproject.org/files/ENCFF187PXI/@@download/ENCFF187PXI.bam
bronchial epithelial cell	ENCFF760VZX	https://www.encodeproject.org/files/ENCFF760VZX/@@download/ENCFF760VZX.bam
activated T-cell	ENCFF457BPJ	https://www.encodeproject.org/files/ENCFF457BPJ/@@download/ENCFF457BPJ.bam
CD4-positive naive resting alpha-beta T cell	ENCFF598HCH	https://www.encodeproject.org/files/ENCFF598HCH/@@download/ENCFF598HCH.bam
CD4-positive, alpha-beta T cell	ENCFF836STW	https://www.encodeproject.org/files/ENCFF836STW/@@download/ENCFF836STW.bam
T-helper 1 cell	ENCFF710AVI	https://www.encodeproject.org/files/ENCFF710AVI/@@download/ENCFF710AVI.bam
kidney	ENCFF741OJQ	https://www.encodeproject.org/files/ENCFF741OJQ/@@download/ENCFF741OJQ.bam
activated CD4-positive, alpha-beta T cell	ENCFF587DRJ	https://www.encodeproject.org/files/ENCFF587DRJ/@@download/ENCFF587DRJ.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF427NTS	https://www.encodeproject.org/files/ENCFF427NTS/@@download/ENCFF427NTS.bam
CD8-positive, alpha-beta T cell	ENCFF701BUI	https://www.encodeproject.org/files/ENCFF701BUI/@@download/ENCFF701BUI.bam
activated CD4-positive, alpha-beta T cell	ENCFF019GBW	https://www.encodeproject.org/files/ENCFF019GBW/@@download/ENCFF019GBW.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF731QFV	https://www.encodeproject.org/files/ENCFF731QFV/@@download/ENCFF731QFV.bam
activated CD4-positive, alpha-beta T cell	ENCFF777AHD	https://www.encodeproject.org/files/ENCFF777AHD/@@download/ENCFF777AHD.bam
activated CD4-positive, alpha-beta T cell	ENCFF987NVG	https://www.encodeproject.org/files/ENCFF987NVG/@@download/ENCFF987NVG.bam
activated CD4-positive, alpha-beta T cell	ENCFF542QYA	https://www.encodeproject.org/files/ENCFF542QYA/@@download/ENCFF542QYA.bam
activated CD4-positive, alpha-beta T cell	ENCFF787KGN	https://www.encodeproject.org/files/ENCFF787KGN/@@download/ENCFF787KGN.bam
RPMI7951	ENCFF459ADL	https://www.encodeproject.org/files/ENCFF459ADL/@@download/ENCFF459ADL.bam
placenta	ENCFF257QXM	https://www.encodeproject.org/files/ENCFF257QXM/@@download/ENCFF257QXM.bam
CD4-positive, alpha-beta T cell	ENCFF231VGD	https://www.encodeproject.org/files/ENCFF231VGD/@@download/ENCFF231VGD.bam
regulatory T cell	ENCFF044KBR	https://www.encodeproject.org/files/ENCFF044KBR/@@download/ENCFF044KBR.bam
activated CD4-positive, alpha-beta T cell	ENCFF355XVQ	https://www.encodeproject.org/files/ENCFF355XVQ/@@download/ENCFF355XVQ.bam
T-helper 1 cell	ENCFF302HLY	https://www.encodeproject.org/files/ENCFF302HLY/@@download/ENCFF302HLY.bam
T-helper 17 cell	ENCFF149PPE,ENCFF633ZKE	https://www.encodeproject.org/files/ENCFF149PPE/@@download/ENCFF149PPE.bam
T-helper 17 cell	ENCFF149PPE,ENCFF633ZKE	https://www.encodeproject.org/files/ENCFF633ZKE/@@download/ENCFF633ZKE.bam
CD4-positive, alpha-beta T cell	ENCFF706LGA	https://www.encodeproject.org/files/ENCFF706LGA/@@download/ENCFF706LGA.bam
liver	ENCFF339TDL	https://www.encodeproject.org/files/ENCFF339TDL/@@download/ENCFF339TDL.bam
T-cell	ENCFF088GSY	https://www.encodeproject.org/files/ENCFF088GSY/@@download/ENCFF088GSY.bam
gamma-delta T cell	ENCFF192ISM	https://www.encodeproject.org/files/ENCFF192ISM/@@download/ENCFF192ISM.bam
activated CD4-positive, alpha-beta T cell	ENCFF732LJH	https://www.encodeproject.org/files/ENCFF732LJH/@@download/ENCFF732LJH.bam
activated CD4-positive, alpha-beta T cell	ENCFF175MJC	https://www.encodeproject.org/files/ENCFF175MJC/@@download/ENCFF175MJC.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF057BZT	https://www.encodeproject.org/files/ENCFF057BZT/@@download/ENCFF057BZT.bam
activated CD4-positive, alpha-beta T cell	ENCFF028BHS	https://www.encodeproject.org/files/ENCFF028BHS/@@download/ENCFF028BHS.bam
CD4-positive, alpha-beta T cell	ENCFF755MPT	https://www.encodeproject.org/files/ENCFF755MPT/@@download/ENCFF755MPT.bam
activated CD4-positive, alpha-beta T cell	ENCFF063PZE	https://www.encodeproject.org/files/ENCFF063PZE/@@download/ENCFF063PZE.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF744ASG	https://www.encodeproject.org/files/ENCFF744ASG/@@download/ENCFF744ASG.bam
activated CD4-positive, alpha-beta T cell	ENCFF356KIK	https://www.encodeproject.org/files/ENCFF356KIK/@@download/ENCFF356KIK.bam
T-cell	ENCFF849NBE	https://www.encodeproject.org/files/ENCFF849NBE/@@download/ENCFF849NBE.bam
CD4-positive, alpha-beta T cell	ENCFF228ZXI	https://www.encodeproject.org/files/ENCFF228ZXI/@@download/ENCFF228ZXI.bam
H7	ENCFF930YYX	https://www.encodeproject.org/files/ENCFF930YYX/@@download/ENCFF930YYX.bam
activated CD4-positive, alpha-beta T cell	ENCFF684XGA	https://www.encodeproject.org/files/ENCFF684XGA/@@download/ENCFF684XGA.bam
activated CD4-positive, alpha-beta T cell	ENCFF172WAX	https://www.encodeproject.org/files/ENCFF172WAX/@@download/ENCFF172WAX.bam
CD8-positive, alpha-beta T cell	ENCFF263RES	https://www.encodeproject.org/files/ENCFF263RES/@@download/ENCFF263RES.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF093KTR	https://www.encodeproject.org/files/ENCFF093KTR/@@download/ENCFF093KTR.bam
activated CD4-positive, alpha-beta T cell	ENCFF687CMH	https://www.encodeproject.org/files/ENCFF687CMH/@@download/ENCFF687CMH.bam
CD8-positive naive resting alpha-beta T cell	ENCFF472JQA	https://www.encodeproject.org/files/ENCFF472JQA/@@download/ENCFF472JQA.bam
T-helper 9 cell	ENCFF854EYP	https://www.encodeproject.org/files/ENCFF854EYP/@@download/ENCFF854EYP.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF256XTU	https://www.encodeproject.org/files/ENCFF256XTU/@@download/ENCFF256XTU.bam
activated T-cell	ENCFF348CGS	https://www.encodeproject.org/files/ENCFF348CGS/@@download/ENCFF348CGS.bam
middle frontal area 46	ENCFF510KRD	https://www.encodeproject.org/files/ENCFF510KRD/@@download/ENCFF510KRD.bam
activated CD4-positive, alpha-beta T cell	ENCFF299WHS	https://www.encodeproject.org/files/ENCFF299WHS/@@download/ENCFF299WHS.bam
posterior cingulate gyrus	ENCFF207UYU	https://www.encodeproject.org/files/ENCFF207UYU/@@download/ENCFF207UYU.bam
T-cell	ENCFF525LJX	https://www.encodeproject.org/files/ENCFF525LJX/@@download/ENCFF525LJX.bam
CD4-positive, alpha-beta T cell	ENCFF811DDF	https://www.encodeproject.org/files/ENCFF811DDF/@@download/ENCFF811DDF.bam
T-helper 2 cell	ENCFF982DVN	https://www.encodeproject.org/files/ENCFF982DVN/@@download/ENCFF982DVN.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF673XKZ	https://www.encodeproject.org/files/ENCFF673XKZ/@@download/ENCFF673XKZ.bam
T-cell	ENCFF848MZR	https://www.encodeproject.org/files/ENCFF848MZR/@@download/ENCFF848MZR.bam
CD4-positive, alpha-beta T cell	ENCFF503WCC	https://www.encodeproject.org/files/ENCFF503WCC/@@download/ENCFF503WCC.bam
activated CD4-positive, alpha-beta T cell	ENCFF772JQO	https://www.encodeproject.org/files/ENCFF772JQO/@@download/ENCFF772JQO.bam
activated CD4-positive, alpha-beta T cell	ENCFF838ZQA	https://www.encodeproject.org/files/ENCFF838ZQA/@@download/ENCFF838ZQA.bam
activated CD4-positive, alpha-beta T cell	ENCFF642LLQ	https://www.encodeproject.org/files/ENCFF642LLQ/@@download/ENCFF642LLQ.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF365AIX	https://www.encodeproject.org/files/ENCFF365AIX/@@download/ENCFF365AIX.bam
activated T-cell	ENCFF754WEV	https://www.encodeproject.org/files/ENCFF754WEV/@@download/ENCFF754WEV.bam
T-cell	ENCFF060WBQ	https://www.encodeproject.org/files/ENCFF060WBQ/@@download/ENCFF060WBQ.bam
activated CD4-positive, alpha-beta T cell	ENCFF853PPG	https://www.encodeproject.org/files/ENCFF853PPG/@@download/ENCFF853PPG.bam
heart left ventricle	ENCFF603MKF	https://www.encodeproject.org/files/ENCFF603MKF/@@download/ENCFF603MKF.bam
T-cell	ENCFF960OUK	https://www.encodeproject.org/files/ENCFF960OUK/@@download/ENCFF960OUK.bam
effector memory CD4-positive, alpha-beta T cell	ENCFF161YET	https://www.encodeproject.org/files/ENCFF161YET/@@download/ENCFF161YET.bam
activated CD4-positive, alpha-beta T cell	ENCFF036SYB	https://www.encodeproject.org/files/ENCFF036SYB/@@download/ENCFF036SYB.bam
ovary	ENCFF067MJC	https://www.encodeproject.org/files/ENCFF067MJC/@@download/ENCFF067MJC.bam
T-cell	ENCFF423ISN	https://www.encodeproject.org/files/ENCFF423ISN/@@download/ENCFF423ISN.bam
head of caudate nucleus	ENCFF121ZHK	https://www.encodeproject.org/files/ENCFF121ZHK/@@download/ENCFF121ZHK.bam
T follicular helper cell	ENCFF219RTG	https://www.encodeproject.org/files/ENCFF219RTG/@@download/ENCFF219RTG.bam
activated CD4-positive, alpha-beta T cell	ENCFF883EIQ	https://www.encodeproject.org/files/ENCFF883EIQ/@@download/ENCFF883EIQ.bam
effector memory CD4-positive, alpha-beta T cell	ENCFF247KCG	https://www.encodeproject.org/files/ENCFF247KCG/@@download/ENCFF247KCG.bam
T-cell	ENCFF700ZQK	https://www.encodeproject.org/files/ENCFF700ZQK/@@download/ENCFF700ZQK.bam
GM23338	ENCFF357LQS	https://www.encodeproject.org/files/ENCFF357LQS/@@download/ENCFF357LQS.bam
activated CD4-positive, alpha-beta T cell	ENCFF512SDF	https://www.encodeproject.org/files/ENCFF512SDF/@@download/ENCFF512SDF.bam
activated CD4-positive, alpha-beta T cell	ENCFF265FPG	https://www.encodeproject.org/files/ENCFF265FPG/@@download/ENCFF265FPG.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF917PAY	https://www.encodeproject.org/files/ENCFF917PAY/@@download/ENCFF917PAY.bam
T-cell	ENCFF877OLV	https://www.encodeproject.org/files/ENCFF877OLV/@@download/ENCFF877OLV.bam
T-cell	ENCFF563ZAL	https://www.encodeproject.org/files/ENCFF563ZAL/@@download/ENCFF563ZAL.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF947TIS	https://www.encodeproject.org/files/ENCFF947TIS/@@download/ENCFF947TIS.bam
CD4-positive, alpha-beta T cell	ENCFF559GCQ	https://www.encodeproject.org/files/ENCFF559GCQ/@@download/ENCFF559GCQ.bam
T-cell	ENCFF899CDE	https://www.encodeproject.org/files/ENCFF899CDE/@@download/ENCFF899CDE.bam
T-helper 9 cell	ENCFF801GLI	https://www.encodeproject.org/files/ENCFF801GLI/@@download/ENCFF801GLI.bam
T-cell	ENCFF030APG	https://www.encodeproject.org/files/ENCFF030APG/@@download/ENCFF030APG.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF224MSO	https://www.encodeproject.org/files/ENCFF224MSO/@@download/ENCFF224MSO.bam
activated CD4-positive, alpha-beta T cell	ENCFF181JMM	https://www.encodeproject.org/files/ENCFF181JMM/@@download/ENCFF181JMM.bam
T-helper 2 cell	ENCFF723RYG	https://www.encodeproject.org/files/ENCFF723RYG/@@download/ENCFF723RYG.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF956TXU	https://www.encodeproject.org/files/ENCFF956TXU/@@download/ENCFF956TXU.bam
CD8-positive, alpha-beta T cell	ENCFF235RTW	https://www.encodeproject.org/files/ENCFF235RTW/@@download/ENCFF235RTW.bam
activated CD4-positive, alpha-beta T cell	ENCFF952QRX	https://www.encodeproject.org/files/ENCFF952QRX/@@download/ENCFF952QRX.bam
activated T-cell	ENCFF162CKX	https://www.encodeproject.org/files/ENCFF162CKX/@@download/ENCFF162CKX.bam
CD8-positive naive resting alpha-beta T cell	ENCFF812IZB	https://www.encodeproject.org/files/ENCFF812IZB/@@download/ENCFF812IZB.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF132CVF	https://www.encodeproject.org/files/ENCFF132CVF/@@download/ENCFF132CVF.bam
T-helper 1 cell	ENCFF264MCW	https://www.encodeproject.org/files/ENCFF264MCW/@@download/ENCFF264MCW.bam
activated CD4-positive, alpha-beta T cell	ENCFF471SMI	https://www.encodeproject.org/files/ENCFF471SMI/@@download/ENCFF471SMI.bam
activated CD4-positive, alpha-beta T cell	ENCFF846XFL	https://www.encodeproject.org/files/ENCFF846XFL/@@download/ENCFF846XFL.bam
T-helper 1 cell	ENCFF685YPV	https://www.encodeproject.org/files/ENCFF685YPV/@@download/ENCFF685YPV.bam
activated CD4-positive, alpha-beta T cell	ENCFF255KZX	https://www.encodeproject.org/files/ENCFF255KZX/@@download/ENCFF255KZX.bam
gamma-delta T cell	ENCFF822EJV	https://www.encodeproject.org/files/ENCFF822EJV/@@download/ENCFF822EJV.bam
T-cell	ENCFF468MYN	https://www.encodeproject.org/files/ENCFF468MYN/@@download/ENCFF468MYN.bam
CD8-positive, alpha-beta T cell	ENCFF733EFO	https://www.encodeproject.org/files/ENCFF733EFO/@@download/ENCFF733EFO.bam
activated T-cell	ENCFF120IFR	https://www.encodeproject.org/files/ENCFF120IFR/@@download/ENCFF120IFR.bam
LHCN-M2	ENCFF498ZTB	https://www.encodeproject.org/files/ENCFF498ZTB/@@download/ENCFF498ZTB.bam
CD4-positive naive resting alpha-beta T cell	ENCFF440JPJ	https://www.encodeproject.org/files/ENCFF440JPJ/@@download/ENCFF440JPJ.bam
T-helper 1 cell	ENCFF660SHR	https://www.encodeproject.org/files/ENCFF660SHR/@@download/ENCFF660SHR.bam
progenitor cell of endocrine pancreas	ENCFF156CDQ	https://www.encodeproject.org/files/ENCFF156CDQ/@@download/ENCFF156CDQ.bam
T-cell	ENCFF516RRG	https://www.encodeproject.org/files/ENCFF516RRG/@@download/ENCFF516RRG.bam
T-helper 1 cell	ENCFF071GMZ	https://www.encodeproject.org/files/ENCFF071GMZ/@@download/ENCFF071GMZ.bam
activated CD4-positive, alpha-beta T cell	ENCFF996PCG	https://www.encodeproject.org/files/ENCFF996PCG/@@download/ENCFF996PCG.bam
CD4-positive, alpha-beta T cell	ENCFF397TTL	https://www.encodeproject.org/files/ENCFF397TTL/@@download/ENCFF397TTL.bam
T-cell	ENCFF979KXP	https://www.encodeproject.org/files/ENCFF979KXP/@@download/ENCFF979KXP.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF657RZA	https://www.encodeproject.org/files/ENCFF657RZA/@@download/ENCFF657RZA.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF432TJP	https://www.encodeproject.org/files/ENCFF432TJP/@@download/ENCFF432TJP.bam
activated CD4-positive, alpha-beta T cell	ENCFF480STD	https://www.encodeproject.org/files/ENCFF480STD/@@download/ENCFF480STD.bam
activated CD4-positive, alpha-beta T cell	ENCFF904GAD	https://www.encodeproject.org/files/ENCFF904GAD/@@download/ENCFF904GAD.bam
CD8-positive, alpha-beta T cell	ENCFF620ZWN	https://www.encodeproject.org/files/ENCFF620ZWN/@@download/ENCFF620ZWN.bam
T-cell	ENCFF888AER	https://www.encodeproject.org/files/ENCFF888AER/@@download/ENCFF888AER.bam
T-cell	ENCFF504PLR	https://www.encodeproject.org/files/ENCFF504PLR/@@download/ENCFF504PLR.bam
T-cell	ENCFF205SSL	https://www.encodeproject.org/files/ENCFF205SSL/@@download/ENCFF205SSL.bam
activated CD4-positive, alpha-beta T cell	ENCFF447RBU	https://www.encodeproject.org/files/ENCFF447RBU/@@download/ENCFF447RBU.bam
activated CD4-positive, alpha-beta T cell	ENCFF425THL	https://www.encodeproject.org/files/ENCFF425THL/@@download/ENCFF425THL.bam
CD8-positive, alpha-beta T cell	ENCFF434ROV	https://www.encodeproject.org/files/ENCFF434ROV/@@download/ENCFF434ROV.bam
T-cell	ENCFF009GXF	https://www.encodeproject.org/files/ENCFF009GXF/@@download/ENCFF009GXF.bam
T-cell	ENCFF949ULJ	https://www.encodeproject.org/files/ENCFF949ULJ/@@download/ENCFF949ULJ.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF842PXL	https://www.encodeproject.org/files/ENCFF842PXL/@@download/ENCFF842PXL.bam
T-cell	ENCFF295IIG	https://www.encodeproject.org/files/ENCFF295IIG/@@download/ENCFF295IIG.bam
T-cell	ENCFF278TQW	https://www.encodeproject.org/files/ENCFF278TQW/@@download/ENCFF278TQW.bam
T-cell	ENCFF639AEC	https://www.encodeproject.org/files/ENCFF639AEC/@@download/ENCFF639AEC.bam
activated CD4-positive, alpha-beta T cell	ENCFF235VSE	https://www.encodeproject.org/files/ENCFF235VSE/@@download/ENCFF235VSE.bam
effector CD4-positive, alpha-beta T cell	ENCFF704RCM	https://www.encodeproject.org/files/ENCFF704RCM/@@download/ENCFF704RCM.bam
activated CD4-positive, alpha-beta T cell	ENCFF775UTR	https://www.encodeproject.org/files/ENCFF775UTR/@@download/ENCFF775UTR.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF559QHY	https://www.encodeproject.org/files/ENCFF559QHY/@@download/ENCFF559QHY.bam
CD4-positive, alpha-beta T cell	ENCFF831UXR	https://www.encodeproject.org/files/ENCFF831UXR/@@download/ENCFF831UXR.bam
pancreas	ENCFF739DWU	https://www.encodeproject.org/files/ENCFF739DWU/@@download/ENCFF739DWU.bam
CD8-positive, alpha-beta T cell	ENCFF283KKJ	https://www.encodeproject.org/files/ENCFF283KKJ/@@download/ENCFF283KKJ.bam
activated CD4-positive, alpha-beta T cell	ENCFF683CIW	https://www.encodeproject.org/files/ENCFF683CIW/@@download/ENCFF683CIW.bam
T-cell	ENCFF171WVT	https://www.encodeproject.org/files/ENCFF171WVT/@@download/ENCFF171WVT.bam
